# Example artist data file
# Format: artist_id,artist_name,artist_data
# Lines starting with # are comments and will be ignored
# Blank lines are also ignored
# artist_id must be a valid UUID

550e8400-e29b-41d4-a716-446655440000,Taylor Swift,Pop singer-songwriter known for autobiographical lyrics and genre evolution
11111111-1111-1111-1111-111111111111,Drake,Canadian rapper and singer from Toronto
# This is a comment line
22222222-2222-2222-2222-222222222222,Billie Eilish,Alternative pop artist known for whisper vocals and dark themes

33333333-3333-3333-3333-333333333333,The Weeknd,R&B and pop artist with atmospheric production
# Another comment
44444444-4444-4444-4444-444444444444,BTS,Korean boy band that popularized K-pop globally

55555555-5555-5555-5555-555555555555,Artist with no additional data,
